DATETIME,RECIPE,ANGLE,ITEM,RESULT,HEAD1_FOUND,HEAD1_STANDARD_AXIS,HEAD1_RESULT_AXIS,HEAD1_RESULT,HEAD1_LENGTH,HEAD1_FILE,HEAD2_FOUND,HEAD2_STANDARD_AXIS,HEAD2_RESULT_AXIS,HEAD2_RESULT,HEAD2_LENGTH,HEAD2_FILE,HEAD3_FOUND,HEAD3_STANDARD_AXIS,HEAD3_RESULT_AXIS,HEAD3_RESULT,HEAD3_LENGTH,HEAD3_FILE,HEAD4_FOUND,HEAD4_STANDARD_AXIS,HEAD4_RESULT_AXIS,HEAD4_RESULT,HEAD4_LENGTH,HEAD4_FILE
2016.11.23 09:08:27 144,TFT_SIDE5.46,90,DIRECT CUT,OK,True,1032.64,1035.96423775089,OK,0.012,.\Image\DirectCut\2016\11\23\09.08.27 144\Head1.jpg,True,665.12,661.903671100657,OK,-0.012,.\Image\DirectCut\2016\11\23\09.08.27 144\Head2.jpg,True,1063.17333333333,1070.36245198593,OK,0.027,.\Image\DirectCut\2016\11\23\09.08.27 144\Head3.jpg,True,266.426666666667,267.324280710554,OK,0.003,.\Image\DirectCut\2016\11\23\09.08.27 144\Head4.jpg
2016.11.23 09:08:29 942,TFT_SIDE5.46,90,CROSS CUT,OK,True,1035.96423775089,1046.7167436765,OK,-0.04,.\Image\CrossCut\2016\11\23\09.08.29 942\Head1.jpg,True,661.903671100657,669.679947118834,OK,-0.029,.\Image\CrossCut\2016\11\23\09.08.29 942\Head2.jpg,True,1070.36245198593,1073.16973173844,OK,-0.011,.\Image\CrossCut\2016\11\23\09.08.29 942\Head3.jpg,True,267.324280710554,275.650943812955,OK,-0.031,.\Image\CrossCut\2016\11\23\09.08.29 942\Head4.jpg
2016.11.23 09:09:47 005,TFT_SIDE5.46,0,DIRECT CUT,OK,True,1032.64,1034.55944393592,OK,0.007,.\Image\DirectCut\2016\11\23\09.09.47 005\Head1.jpg,,,,,,,,,,,,,True,266.426666666667,265.405280302966,OK,-0.004,.\Image\DirectCut\2016\11\23\09.09.47 005\Head4.jpg
2016.11.23 09:09:50 292,TFT_SIDE5.46,0,CROSS CUT,OK,True,1034.55944393592,1044.79589621468,OK,-0.038,.\Image\CrossCut\2016\11\23\09.09.50 292\Head1.jpg,,,,,,,,,,,,,True,265.405280302966,275.672316135043,OK,-0.039,.\Image\CrossCut\2016\11\23\09.09.50 292\Head4.jpg
2016.11.23 09:45:16 484,TFT_SIDE5.46,0,DIRECT CUT,OK,True,247.36,1034.47264304542,OK,-0.007,.\Image\DirectCut\2016\11\23\09.45.16 484\Head1.jpg,,,,,,,,,,,,,True,1013.57333333333,264.965565599612,OK,0.005,.\Image\DirectCut\2016\11\23\09.45.16 484\Head4.jpg
2016.11.23 09:45:19 707,TFT_SIDE5.46,0,CROSS CUT,OK,True,1034.47264304542,1045.36061963124,OK,-0.041,.\Image\CrossCut\2016\11\23\09.45.19 707\Head1.jpg,,,,,,,,,,,,,True,264.965565599612,275.831926597629,OK,-0.041,.\Image\CrossCut\2016\11\23\09.45.19 707\Head4.jpg
2016.11.23 09:45:43 893,TFT_SIDE5.46,90,DIRECT CUT,NG,True,247.36,1035.77066822767,OK,-0.012,.\Image\DirectCut\2016\11\23\09.45.43 893\Head1.jpg,True,614.88,661.830257277761,OK,0.012,.\Image\DirectCut\2016\11\23\09.45.43 893\Head2.jpg,True,216.826666666667,1087.89176375721,NG,-0.093,.\Image\DirectCut\2016\11\23\09.45.43 893\Head3.jpg,True,1013.57333333333,267.420909154901,OK,-0.004,.\Image\DirectCut\2016\11\23\09.45.43 893\Head4.jpg
2016.11.23 09:48:18 874,TFT_SIDE5.46,0,DIRECT CUT,OK,True,247.36,1034.59737223493,OK,-0.007,.\Image\DirectCut\2016\11\23\09.48.18 874\Head1.jpg,,,,,,,,,,,,,True,1013.57333333333,265.637623012183,OK,0.003,.\Image\DirectCut\2016\11\23\09.48.18 874\Head4.jpg
2016.11.23 09:48:22 159,TFT_SIDE5.46,0,CROSS CUT,OK,True,1034.59737223493,1044.44908758695,OK,-0.037,.\Image\CrossCut\2016\11\23\09.48.22 159\Head1.jpg,,,,,,,,,,,,,True,265.637623012183,275.519088272361,OK,-0.037,.\Image\CrossCut\2016\11\23\09.48.22 159\Head4.jpg
2016.11.23 09:48:46 398,TFT_SIDE5.46,90,DIRECT CUT,NG,True,247.36,1035.87993845819,OK,-0.012,.\Image\DirectCut\2016\11\23\09.48.46 398\Head1.jpg,True,614.88,661.776758276116,OK,0.013,.\Image\DirectCut\2016\11\23\09.48.46 398\Head2.jpg,False,,,NG,,.\Image\DirectCut\2016\11\23\09.48.46 398\Head3.jpg,True,1013.57333333333,267.002295877237,OK,-0.002,.\Image\DirectCut\2016\11\23\09.48.46 398\Head4.jpg
2016.11.23 09:50:39 020,TFT_SIDE5.46,0,DIRECT CUT,OK,True,247.36,1034.48819646701,OK,-0.007,.\Image\DirectCut\2016\11\23\09.50.39 020\Head1.jpg,,,,,,,,,,,,,True,1013.57333333333,265.633650762067,OK,0.003,.\Image\DirectCut\2016\11\23\09.50.39 020\Head4.jpg
2016.11.23 09:50:42 303,TFT_SIDE5.46,0,CROSS CUT,OK,True,1034.48819646701,1044.7606341587,OK,-0.039,.\Image\CrossCut\2016\11\23\09.50.42 303\Head1.jpg,,,,,,,,,,,,,True,265.633650762067,275.997499303725,OK,-0.039,.\Image\CrossCut\2016\11\23\09.50.42 303\Head4.jpg
2016.11.23 09:51:06 435,TFT_SIDE5.46,90,DIRECT CUT,OK,True,247.36,1035.69272307553,OK,-0.011,.\Image\DirectCut\2016\11\23\09.51.06 435\Head1.jpg,True,614.88,661.441040552444,OK,0.014,.\Image\DirectCut\2016\11\23\09.51.06 435\Head2.jpg,True,216.826666666667,1075.71238012488,OK,-0.047,.\Image\DirectCut\2016\11\23\09.51.06 435\Head3.jpg,True,1013.57333333333,266.98133652119,OK,-0.002,.\Image\DirectCut\2016\11\23\09.51.06 435\Head4.jpg
2016.11.23 09:51:09 277,TFT_SIDE5.46,90,CROSS CUT,OK,True,1035.69272307553,1046.72579937327,OK,-0.041,.\Image\CrossCut\2016\11\23\09.51.09 277\Head1.jpg,True,661.441040552444,669.301325214866,OK,-0.029,.\Image\CrossCut\2016\11\23\09.51.09 277\Head2.jpg,True,1075.71238012488,1073.45825344085,OK,0.008,.\Image\CrossCut\2016\11\23\09.51.09 277\Head3.jpg,True,266.98133652119,275.433096804401,OK,-0.032,.\Image\CrossCut\2016\11\23\09.51.09 277\Head4.jpg
2016.11.23 09:58:57 033,TFT_SIDE5.46,0,DIRECT CUT,OK,True,247.36,1034.84414839039,OK,-0.008,.\Image\DirectCut\2016\11\23\09.58.57 033\Head1.jpg,,,,,,,,,,,,,True,1013.57333333333,265.770418708788,OK,0.002,.\Image\DirectCut\2016\11\23\09.58.57 033\Head4.jpg
2016.11.23 09:59:00 246,TFT_SIDE5.46,0,CROSS CUT,OK,True,1034.84414839039,1042.63096185719,OK,-0.029,.\Image\CrossCut\2016\11\23\09.59.00 246\Head1.jpg,,,,,,,,,,,,,True,265.770418708788,273.711814547493,OK,-0.03,.\Image\CrossCut\2016\11\23\09.59.00 246\Head4.jpg
2016.11.23 09:59:24 342,TFT_SIDE5.46,90,DIRECT CUT,OK,True,247.36,1035.66226757263,OK,-0.011,.\Image\DirectCut\2016\11\23\09.59.24 342\Head1.jpg,True,614.88,661.054257283302,OK,0.015,.\Image\DirectCut\2016\11\23\09.59.24 342\Head2.jpg,True,216.826666666667,1075.06845558149,OK,-0.045,.\Image\DirectCut\2016\11\23\09.59.24 342\Head3.jpg,True,1013.57333333333,267.129926446852,OK,-0.003,.\Image\DirectCut\2016\11\23\09.59.24 342\Head4.jpg
2016.11.23 09:59:27 181,TFT_SIDE5.46,90,CROSS CUT,NG,True,1035.66226757263,1046.42274573284,OK,-0.04,.\Image\CrossCut\2016\11\23\09.59.27 181\Head1.jpg,False,,,NG,,.\Image\CrossCut\2016\11\23\09.59.27 181\Head2.jpg,True,1075.06845558149,1072.60553674993,OK,0.009,.\Image\CrossCut\2016\11\23\09.59.27 181\Head3.jpg,True,267.129926446852,275.215697181926,OK,-0.03,.\Image\CrossCut\2016\11\23\09.59.27 181\Head4.jpg
2016.11.23 14:18:49 186,TFT_SIDE5.46,0,DIRECT CUT,NG,True,247.36,1036.73842624932,OK,-0.015,.\Image\DirectCut\2016\11\23\14.18.49 186\Head1.jpg,False,,,NG,,.\Image\DirectCut\2016\11\23\14.18.49 186\Head2.jpg,False,,,NG,,.\Image\DirectCut\2016\11\23\14.18.49 186\Head3.jpg,True,1013.57333333333,270.336398934917,OK,-0.015,.\Image\DirectCut\2016\11\23\14.18.49 186\Head4.jpg
2016.11.23 14:19:26 043,TFT_SIDE5.46,90,DIRECT CUT,OK,True,247.36,1036.04383298114,OK,-0.013,.\Image\DirectCut\2016\11\23\14.19.26 043\Head1.jpg,True,614.88,668.384234560424,OK,-0.012,.\Image\DirectCut\2016\11\23\14.19.26 043\Head2.jpg,True,216.826666666667,1072.43244396445,OK,-0.035,.\Image\DirectCut\2016\11\23\14.19.26 043\Head3.jpg,True,1013.57333333333,268.678225757345,OK,-0.008,.\Image\DirectCut\2016\11\23\14.19.26 043\Head4.jpg
2016.11.23 14:19:28 888,TFT_SIDE5.46,90,CROSS CUT,OK,True,1036.04383298114,1042.49749581411,OK,-0.024,.\Image\CrossCut\2016\11\23\14.19.28 888\Head1.jpg,True,668.384234560424,671.829979596968,OK,-0.013,.\Image\CrossCut\2016\11\23\14.19.28 888\Head2.jpg,True,1072.43244396445,1070.68542070852,OK,0.007,.\Image\CrossCut\2016\11\23\14.19.28 888\Head3.jpg,True,268.678225757345,274.969756782335,OK,-0.024,.\Image\CrossCut\2016\11\23\14.19.28 888\Head4.jpg
2016.11.23 16:02:58 806,TFT_SIDE5.46,90,DIRECT CUT,OK,True,247.36,1036.63298085358,OK,-0.015,.\Image\DirectCut\2016\11\23\16.02.58 806\Head1.jpg,True,614.88,668.818439522413,OK,-0.014,.\Image\DirectCut\2016\11\23\16.02.58 806\Head2.jpg,True,216.826666666667,1070.56889007483,OK,-0.028,.\Image\DirectCut\2016\11\23\16.02.58 806\Head3.jpg,True,1013.57333333333,268.760042780904,OK,-0.009,.\Image\DirectCut\2016\11\23\16.02.58 806\Head4.jpg
2016.11.23 16:03:01 707,TFT_SIDE5.46,90,CROSS CUT,NG,True,1036.63298085358,1042.1725781154,OK,-0.021,.\Image\CrossCut\2016\11\23\16.03.01 707\Head1.jpg,True,668.818439522413,674.692127291967,OK,-0.022,.\Image\CrossCut\2016\11\23\16.03.01 707\Head2.jpg,True,1070.56889007483,1070.72450484548,OK,-0.001,.\Image\CrossCut\2016\11\23\16.03.01 707\Head3.jpg,True,268.760042780904,253.097038426273,NG,0.059,.\Image\CrossCut\2016\11\23\16.03.01 707\Head4.jpg
